Title,Employer Name,Experience,Salary,Location,Skills Required,Posted Date
Inbound Voice Agent,Adeeba e Services Pvt. Ltd.,0 to 3 Yrs,,Kolkata,"['Tech Support Troubleshooting', ' Computer', ' Broadband', ' Router', ' Mac', ' Iphone', ' Ipad', 'Outbound Tech Support', ' Sales Skills', ' Printer', ' Email issues']",posted 3 days ago
Business Manager - Telangana,Kidvento Education and Research,0 to 3 Yrs,,Hyderabad,"['Sales B2B', ' Communication', ' Presentations', ' Risk Analysis', ' Negotiation', ' Collaboration', 'SAAS Solutions', ' Establishing Channels', ' Developing Distribution Models']",posted 3 days ago
Marketing Internship,Intellgus,0 to 4 Yrs,,Indore,"['Content Writing Data Mining', ' Social Media Management', 'Canva', ' Marketing Performance Reports']",posted 3 days ago
Support & Demo Specialist,JKV Solutions Pvt. Ltd,0 to 4 Yrs,,All India,"['Technical support Customer service', 'Good communication', ' Problemsolving', ' Product demos']",posted 3 days ago
Social Media Content Creator intern,FourClowns-ITESpro,0 to 4 Yrs,,Ahmedabad,"['Content Creation Video Editing', ' Social Media', ' Storytelling', ' Trend Analysis', '']",posted 3 days ago
Fresher for Sales department in Jewelry Store,SOLN group,0 to 3 Yrs,,Madurai,"['MS Excel Interpersonal skills', ' Communication skills', '']",posted 3 days ago
Business Analyst,Collegedunia,1 to 5 Yrs,,Haryana,"['Business Analysis Product Management', ' Data Analysis', ' Product Design', ' Communication Skills', '']",posted 3 days ago
Housekeeping Staff,DFG Services,1 to 5 Yrs,,Nagpur,"['cleaning practices cleaning equipment', ' attention to detail', ' physical stamina', ' polite', ' respectful attitude', ' follow instructions']",posted 3 days ago
Business Development Manager (B2B),Siva Academy,1 to 5 Yrs,,All India,"['Business Development Institutional Sales', ' Partnership Management', ' Team Management', ' Market Analysis', ' Presentation Skills', ' Negotiation Skills', '']",posted 3 days ago
Sales Manager,Wellwishers group india,3 to 7 Yrs,,Maharashtra,"['Sales Closing', ' Client Interaction', ' Sales Conversion', ' Communication', ' Negotiation', ' MS Office', 'Sales Process Management', ' Market Awareness', ' CRM tools']",posted 3 days ago
Performance Marketing Manager,Ayurheals,3 to 7 Yrs,,Jaipur,"['CAC Lead Generation', ' Audience Segmentation', ' Retargeting', ' Funnel Optimization', ' Analytical Skills', ' Leadership', ' Client Account Management', 'Performance Marketing', ' Meta Ads', ' Google Ads', ' ROAS', ' Campaign Structuring']",posted 3 days ago
AR Associate,My Corporate Jobs,0 to 4 Yrs,,Thane,['Good Communication Skills AR CallingMedical Billing Experience'],posted 3 days ago
Call Center Manager,THE TECH HUB,3 to 7 Yrs,,All India,"['Team Management Operations Management', ' Performance Monitoring', ' Key Performance Indicators', ' Communication Skills', ' Leadership Skills', 'Fluency in English ', ' Hindi', ' Problemsolving Skills', ' CRM Software', ' Call Center Tools', ' Reporting Dashboards']",posted 3 days ago
Field Sales Executive,Shri Shah Traders,0 to 3 Yrs,,Palghar,"['Communication skills Time management', 'Bike riding', ' Valid drivers license', ' Ability to work fulltime', ' Ability to work independently', ' Fluency in Hindi Preferred']",posted 3 days ago
"Analyst, Data Governance",Scoutit,2 to 6 Yrs,,Hyderabad,"['SQL Excel', ' Power BI', '']",posted 3 days ago
Assistant Garment Merchant,Anisa Overseas - India,2 to 6 Yrs,,Gautam Buddha Nagar,"['outlook word', ' excel', ' powerpoint', ' photoshop', 'fabrics', ' prints', ' garment wash']",posted 3 days ago
Sales Team Lead US Region,Supportio Business Services Pvt Ltd,3 to 7 Yrs,,Maharashtra,"['Sales Management Team Leadership', ' Performance Monitoring', ' Training', ' Customer Service', ' Compliance', 'Metrics Tracking', ' Motivation']",posted 3 days ago
Territory Field Sales Representative,ShubhchintaK HR,3 to 7 Yrs,,Gorakhpur,"['Field Sales Business Development', ' Negotiation', 'Automobile spare parts', ' FMCG', ' Pharmaceutical products', ' Sales Reports']",posted 3 days ago
Associate Copywriter,Mad About Digital (M.A.D),0 to 3 Yrs,,Karnataka,"['Content delivery Copywriting', ' Digital marketing', ' Grammar', ' English language', 'Social media platforms', ' Sense of humor']",posted 3 days ago
Marketing Intern - Operations,The Growth Hive,0 to 4 Yrs,,Hyderabad,"['Marketing automation Campaign execution', ' Analytics', ' HubSpot', ' Salesforce', ' MS Excel', ' Google Sheets', ' Verbal communication', ' Written communication', 'CRM tools', ' B2B SaaS']",posted 3 days ago
Customer Support - International Voice Process - US Shift,Aimlay Pvt Ltd ( Recruitment ),0 to 4 Yrs,,Delhi,"['CRM Lead Qualification', ' Sales', 'English communication skills', ' Outbound calls', ' Customer data verification', ' Customer interest assessment']",posted 3 days ago
Finance Controller,The Growth Hive,3 to 7 Yrs,,Maharashtra,"['Microsoft Office Internal Controls', ' Analytical Skills', ' Leadership', ' Communication Skills', ' Financial Modelling', ' Risk Management', 'Chartered Accountant', ' Accounting Principles', ' Financial Reporting Standards', ' Problemsolving Skills']",posted 3 days ago
Zscaler L2 Security Engineer,Arting Digital,3 to 7 Yrs,,Delhi,"['troubleshooting SIEM', ' DLP', ' Wireshark', ' tcpdump', 'Zscaler L2 Security', ' Zscaler Internet Access', ' Zscaler Private Access', ' EDR', ' packet capture analysis']",posted 3 days ago
Data Analyst,HRBRO PLACEMENT SERVICES,2 to 6 Yrs,,Kochi,"['Project coordinationSECR reporting', ' CCA support', ' ESOS audits', ' DEC reporting', ' Audits', ' Compliance documentation', ' Salesforce management']",posted 3 days ago
Sales And Marketing Specialist,Life glow ginger garlic paste,0 to 4 Yrs,,Karnataka,"['sales food products', ' sellers', '']",posted 3 days ago
Purchasing Manager,Jagruti Rehabilitation Center,2 to 6 Yrs,,Haryana,"['Inventory Management Vendor Negotiations', ' Cost Control', ' Vendor Management', ' Budget Management', 'Procurement Process']",posted 3 days ago
Assistant to Sales Manager,Future Generali India Insurance Company Limited,0 to 4 Yrs,,Indore,"['Sales Management', '']",posted 3 days ago
Sales Team Leader,Pink Sky HR Services,1 to 5 Yrs,,Karnataka,"['Sales funnelsStrong leadership skills', ' Excellent communication', ' Negotiation skill', ' Sales processes', ' Revenue generation strategies']",posted 3 days ago
HR Trainee Recruiter,Royal Staffing Services,0 to 3 Yrs,,Surat,"['Administration HR', 'Recruiter']",posted 3 days ago
HR Executive and Trainee,Zobone International Outsourcing Pvt. Ltd.,0 to 3 Yrs,,Rajkot,"['Client Relationship Management Staff Training', ' Training Coordination', ' Administrative Support', ' Communication Skills', 'Candidate Sourcing', ' Placements', ' Training Administration', ' Manager Relationships', ' HR Responsibilities']",posted 3 days ago
Chemical Process Operator,VR Manpower Solutions,0 to 3 Yrs,,Tiruppur,"['Chemical Mechanical', 'Diploma Mechanical', ' Petro Chem', ' BSc Chemistry', ' BSc Phys', ' ITI Fitter', ' Electrical']",posted 3 days ago
Mechanical Engineer,DIRAA HR SERVICES Hiring For mechanical engineer,0 to 4 Yrs,1.5  - 6 LPA,Coimbatore,"['project management testing', ' quality control', ' design development', '']",posted 3 days ago
Logistics Analyst,DIRAA HR SERVICES Hiring For logistic analyst,0 to 4 Yrs,1.5  - 6 LPA,Coimbatore,"['supply chain management inventory management', ' transportation', ' international shipping', ' shipping', ' ship management', '']",posted 3 days ago
Customer Specialist (B2B),Kevell Corp,0 to 5 Yrs,,Madurai,"['Excellent communication Targetdriven attitude', ' Basic computer skills']",posted 3 days ago
Customer Service Executive,RightO,1 to 5 Yrs,,Punjab,"['English Hindi', 'Excellent Communication Skills']",posted 3 days ago
Pre-Primary Teacher,Zigsaw,0 to 4 Yrs,,Rajasthan,"['Early Childhood Education Classroom Management', ' Communication Skills', ' Patience', ' Creativity', '']",posted 3 days ago
Career Coach,Head Held High Foundation,2 to 6 Yrs,,Udaipur,"['Training Community Engagement', ' Catalog Creation', ' Digital Literacy', ' Verbal Communication', 'Field Engagement', ' Career Guidance  Counselling', ' Entrepreneurial Training', ' Partnership Building', ' Digital Commerce', ' ONDC Platform', ' Monitoring  Feedback', ' Local Knowledge', ' Basic Digital Literacy']",posted 3 days ago
International BPO (Inbound Tech Support/Sales) - US Shift,Adeeba e Services Pvt. Ltd.,0 to 3 Yrs,,Kolkata,"['Customer Service Technical Support', ' Inbound Calls', ' Router', 'Printer', ' Antivirus Issues', ' Sales Skills']",posted 3 days ago
US Chat Process,Cogent E Service,0 to 4 Yrs,,Punjab,"['Customer support Voice support', ' Professional communication', ' Customer satisfaction', 'Excellent communication skills', ' Chat support']",posted 3 days ago
Business Development Manager (Interior Projects),Affable Management Services,2 to 6 Yrs,,Kochi,"['Lead generation Relationship building', ' Customer service', ' Sales', ' Estimation', ' Negotiation', ' Project management', 'CRM software', ' Interior design principles', ' Microsoft Office Suite']",posted 3 days ago
Laptop executive - sales,myG Digital hub,0 to 4 Yrs,,Kerala,"['general product knowledge Good communication skill', ' good attitude', ' handle the customers']",posted 3 days ago
Real Estate Sales Manager,ESCALA REALTY INDIA PRIVATE LIMITED,3 to 7 Yrs,,Haryana,"['Real Estate Sales Sales Strategies', ' Team Management', ' Leadership', ' Communication Skills', ' Interpersonal Skills', ' Time Management', 'Client Relationships', ' Real Estate Market Knowledge', ' Organizational Skills']",posted 3 days ago
"DIGITAL MARKETER, GRAPHIC DESIGNER, UI/UX DESIGNER, AND ACCOUNTANT",IMAT GLOBAL,0 to 4 Yrs,,Kochi,"['Digital Marketer Graphic Designer', ' UIUX Designer', ' Accountant']",posted 3 days ago
Chemical Engineer,ACCORD AUTOCOMP PVT LTD,3 to 7 Yrs,,Pune,"['Chemical Analysis Process Management', ' Troubleshooting', ' Continuous Improvement', ' Safety Compliance', ' Wastewater Treatment', 'Electrochemical Principles']",posted 3 days ago
City Head,E sandhai,2 to 6 Yrs,,Tiruchirappalli,"['FMCG Sales Marketing', ' Lead Generation', ' Customer Relationship Management', ' Market Research', ' Report Generation', ' Team Collaboration', ' Analytical Skills', ' Customer Service', 'Sales Target Achievement', ' Local Market Knowledge']",posted 3 days ago
Finance Intern,TravClan,0 to 4 Yrs,,Delhi,"['Documentation Graduate', ' Problem solving', 'Managing crossborder remittances', ' Coordinating with bankers for fx rates', ' R2R record to report process', ' Basic accounting', ' Tally data entry', ' Liaison with tax team', ' Completing KYC', ' Ethical mindset', ' Hardworking', ' Passionate about startups', ' Excel skills']",posted 3 days ago
Mechanical Design Engineer (AutoCAD),Big Bee Consultant,2 to 6 Yrs,,All India,"['AutoCAD SolidWorks', ' CAD', ' Mechanical Design', '']",posted 3 days ago
Back office process (BPO),The Functionary,0 to 3 Yrs,,Indore,"['Customer Service Communication', 'Problemsolving']",posted 3 days ago
Micro Loan Officer,Mahaakal Associates,0 to 4 Yrs,,Jalandhar,"['Customer Interaction Loan Processing', ' Collections', ' Field Work', 'Customer Relationships', ' Promotion', ' Finance Industry Knowledge']",posted 3 days ago
Deal Modeler,Uplers,3 to 7 Yrs,,Karnataka,"['AWS Python', 'multiple asset classes', ' securitization modelling', ' Cashflow']",posted 3 days ago
Manager,Flight Dot Com,2 to 6 Yrs,,Sirsa,"['Client Handling Documentation', ' Visa Processing', 'Visa Counseling', ' Immigration Laws']",posted 3 days ago
Automation Testing with Java Selenium,"Netreo, A BMC Company",3 to 7 Yrs,,Pune,"['Software Quality Assurance Test Automation', ' Python', ' Selenium', ' Java', ' Databases', ' JIRA', ' Github', ' Agile methodology', ' Jenkins', ' Kubernetes', ' OpenShift', ' AWS', ' Azure', ' OCI', 'CICD', ' GCI']",posted 3 days ago
Inside Sales Executive,Hindustan HR,0 to 4 Yrs,,Tamil Nadu,['Inside sales'],posted 3 days ago
Spa Assistant Manager,Red Orchid Spa,2 to 6 Yrs,,Noida,"['Management Cleaning', ' Staff Management', 'Client Dealing', ' Hygiene']",posted 3 days ago
Front Office Administrator,Hindustan HR,3 to 7 Yrs,,Chennai,"['Marketing Front Office Management', ' MS Office', ' Communication', '']",posted 3 days ago
Procurement Specialist (Electronic Waste),Scrapcart,3 to 7 Yrs,,Haryana,"['material sourcing regulatory compliance', ' negotiation', ' compliance management', ' relationship building', 'ewaste expertise', ' supplier relationships', ' electronic component types', ' recycling processes', ' supplier network development', ' precious metal recovery']",posted 3 days ago
Domain Architect- Data Management (Portuguese Speaker),Workiva,3 to 7 Yrs,,All India,"['Data Management Integration', ' Automation', ' Data Integration', ' Documentation', ' Solution Architecture', ' Consulting', ' Enterprise Systems', ' Audit', ' Sustainability', ' Data Structures', ' Schemas', ' Data Engineering', ' Data Warehousing', ' SQL', ' Python', ' Verbal Communication', ' Written Communication', ' Presentation Skills', ' Relationship Building', 'Data Queries', ' Reporting Solutions', ' Customer Success', ' SoftwareasaService applications', ' Accounting  Finance', ' Risk  Compliance', ' Regulatory Data Requirements', ' Integration Technologies', ' API Design', ' ETL Techniques', ' ProblemSolving', ' Computer Technology Skills', ' Influencing Skills']",posted 3 days ago
Senior SEO Content Writer,Busfam,1 to 5 Yrs,,Kolkata,"['SEO Content Writing', ' Social Media', ' Content Management', ' Copywriting', '']",posted 3 days ago
Inside Sales Executive L-1,NoBroker.com,0 to 4 Yrs,,Karnataka,"['verbal communication written communication', ' MS Office', ' lead generation', ' sales', ' relationship building', '']",posted 3 days ago
Senior HR & Admin Executive,Happiest Solutions,3 to 7 Yrs,,Navi Mumbai,"['Recruitment HR Operations', ' Administration', ' Compliance', ' Communication', ' Interpersonal Skills', 'Employee Lifecycle Management']",posted 3 days ago
US Accountant.,Harry International,1 to 5 Yrs,,Ahmedabad,"['US Accounting Finance', ' Excel', ' Microsoft Office', 'English communication', ' PPT']",posted 3 days ago
HR Executive,Ebix Payment Services Pvt Ltd,0 to 3 Yrs,,Noida,['Good Communication skills Good Knowledge about Recruitment'],posted 3 days ago
Australian Accountant,Harry International,1 to 5 Yrs,,Ahmedabad,"['Finance Excel', ' Microsoft Office', 'Aus Accounting', ' English communication', ' PPT']",posted 3 days ago
Node.js Developer,Speqto Technologies Pvt Ltd.,0 to 4 Yrs,,Gautam Buddha Nagar,"['JavaScript Angular', ' JAVA', ' NET', ' SQL', 'Nodejs', ' Jenkin', ' CircleCI']",posted 3 days ago
Telecaller with CRM Management,PlaNexTrip-The Travel Company,0 to 4 Yrs,,Kota,"['Interpersonal skills Client relationship management', 'Excellent communication', ' CRM software knowledge', ' Sales experience']",posted 3 days ago
MD Pharmacology,Seva At Home,3 to 7 Yrs,,Haryana,"['Product Research Compliance', ' Analytical Skills', ' Communication Skills', ' Teamwork', 'MBBS', ' MD Pharmacology', ' Medical Protocols', ' Pharmacy Processes', ' Evidencebased Practices', ' Research Skills']",posted 3 days ago
Commis - I/II/III,FashionTV India,0 to 4 Yrs,,Lucknow,"['food preparation cooking', ' quality control', '']",posted 3 days ago
Operation executive ( Logistics),Austral International Co.,2 to 12 Yrs,,All India,"['Logistics Supply Chain', ' Sales Coordination', ' MS Office', ' Communication Skills', '']",posted 3 days ago
Junior Executive Assistant/Office Coordinator,Celestile C/o S K Marketing Tiles & Taps,1 to 13 Yrs,,All India,"['Office Administration Coordination', ' Communication', ' Office Operations', ' MS Office Suite', ' Documentation', ' Reporting', ' Data Entry', ' Vendor Management', 'Executive Assistance']",posted 3 days ago
Optometrist,India Eye Hospital,5 to 9 Yrs,,Uttar Pradesh,"['Comprehensive eye examinations Refractions', ' Prescribing glasses', ' Prescribing contact lenses', ' Slit Lamp examination', ' Applanation Tonometry', ' Keratometry', ' Ascan Biometry', ' Visual Field analysis', ' Training Ophthalmic Assistants', ' Postoperative patient followups', ' Calibration of optometry equipment']",posted 3 days ago
Backend Engineer,Talent Basket,5 to 9 Yrs,,Thiruvananthapuram,"['azure devops bfsi', ' jenkins', ' entity framework', ' postgresql', ' c', ' restful apis', ' sql server', ' git', ' oauth', 'net core', ' dapper', ' soap apis', ' mortggage', ' mortgage domain']",posted 3 days ago
Naagin,Space Food Club,1 to 5 Yrs,,Maharashtra,"['Quality Assurance Regulatory Compliance', ' New Product Development', ' Food Science', ' Food Technology', ' Food Processing', ' Communication Skills', ' Teamwork', 'Process Optimisation', ' Research  Innovation', ' FMCG Industry', ' Indian Flavours', ' Organisational Skills', ' Documentation Skills', ' ProblemSolving']",posted 3 days ago
Field Sales Representative,infofix computers,1 to 5 Yrs,,Asansol,"['Communication skills Negotiation skills', 'Computer ', ' IT component selling', ' Knowledge about computers ', ' computer related parts  components', ' Market knowledge of IT sector']",posted 3 days ago
Software Engineer,Space Food Club,1 to 5 Yrs,,Maharashtra,"['Quality Control Food Technology', '']",posted 3 days ago
LV Spices,Space Food Club,1 to 5 Yrs,,Maharashtra,"['Food Science QC', 'Food Tech', ' Masala Development', ' Seasoning Development', ' Production Scaleup', ' Marketing Knowledge']",posted 3 days ago
LaTeX Content Formatting Specialist,Smavy Academy | Online tutoring platform for K-12 students,2 to 6 Yrs,,All India,"['LaTeX Maths', ' English', ' LyX', ' Python', 'Overleaf', ' Abstract Reasoning', ' Typora']",posted 3 days ago
Delivery Boys and Girls,Delhivery Limited,0 to 3 Yrs,,Kottayam,"['Interpersonal skills Time management', 'Good communication', ' Local areanavigation skills']",posted 3 days ago
Crystal Reports Software Engineer,Monalisa Group of Services,1 to 5 Yrs,,Navi Mumbai,"['Crystal Reports Oracle database', ' SDLC', 'Microsoft development tools', ' ERP products']",posted 3 days ago
Junior Accountant & Admin,Vasavi Decorations,1 to 5 Yrs,,Coimbatore,"['Tally Microsoft Excel', ' Communication Skills', 'Accounting Principles', ' GST Compliance', ' Organizational Skills']",posted 3 days ago
French Teacher(WFH),Learning Lingos Pvt Ltd,2 to 6 Yrs,,All India,"['Communication Interpersonal skills', 'French language teaching', ' Language teaching methodologies', ' Language assessment']",posted 3 days ago
Civil & Electrical Engineer(Project Engineer/ Sr. Engineer),Verto Bizserv,4 to 8 Yrs,,Delhi,"['Power Transmission Power Distribution', 'Substations', ' Rural Electrification Projects']",posted 3 days ago
Party Hall Manager/Caretaker,India Solution Events and Production,3 to 7 Yrs,,All India,"['Customer Service People Management', 'Client Interactions', ' Maintaining Hall', ' Event Coordination']",posted 3 days ago
Inclusion Coordinator - preschool,Insighte,0 to 4 Yrs,,Karnataka,"['Early Childhood Education Assessment', ' Documentation', ' Collaboration', ' Communication', 'Inclusion', ' Individualized Education Plans IEPs', ' Montessori lessons', ' Spoken English sessions', ' Observation']",posted 3 days ago
HR Executive,PERFECTER FABRITECH PRIVATE LIMITED,0 to 12 Yrs,,Mandya,"['HR Compliance Documentation', ' Report Preparation', ' Client Coordination', ' MS Office', ' MS Excel', ' Communication Skills', 'Email Communication']",posted 3 days ago
Senior Hardware Engineer,WHITELION SYSTEMS PVT LTD,3 to 7 Yrs,,Surat,"['Power Electronics Electronics', ' Electricals', ' Automobile', ' Embedded Software', ' Hardware Design', ' Hardware Testing', ' Time Management', 'Hardware Prototyping', ' EMI Testing', ' Product Body Design Engineering', ' Agency Certification Processes', ' PCB Layout', ' Power Components']",posted 3 days ago
Sales Executive Patient Care Specialist,Eyemantra,1 to 5 Yrs,,All India,"['Sales Patient Care', ' Communication', ' Customer Relationship Management', ' Customer Service', ' Record Keeping', ' MS Office', 'Sales Targets', ' CRM Software']",posted 3 days ago
Technical Content Writer,YouStable,1 to 5 Yrs,,Lucknow,"['Content Writing Copywriting', ' Editing', ' Proofreading', ' Content Strategy', ' Research', ' Collaboration', ' Communication Skills', 'SEO Practices']",posted 3 days ago
Corporate Development Executive Intern,Harvinn Technologies,0 to 4 Yrs,,All India,"['Business Development Sales Strategies', ' Client Management', ' Market Research', 'Sales ', ' Marketing Skills']",posted 3 days ago
Inventory Management Executive,Eternal HR Services PVT Ltd,3 to 7 Yrs,,Gautam Buddha Nagar,"['Inventory Management Procurement', ' Vendor Management', ' Reporting', ' MS Excel', 'Busy Inventory Software', ' Material Stock Management', ' Inventory Tracking', ' Inventory Audits']",posted 3 days ago
Assistant Manager/Manager-MIS,Kamdhenu Group,4 to 8 Yrs,,Haryana,"['Excel Power BI', ' GST', ' TDS', ' MIS Reports', ' Budgeting', ' Analytical Skills', '']",posted 3 days ago
CSM - Gold Loan/Branch Manager/Area Sales manager,Ignitus Labs,5 to 9 Yrs,,Jodhpur,"['Business Growth Team Leadership', ' Market Penetration', ' Customer Service', 'Operations  Compliance', ' Portfolio Quality', ' Gold Loan Sourcing', ' Valuation  Custody', ' CrossSelling']",posted 3 days ago
IT Sr Programmer,Knoxed Infotech,5 to 9 Yrs,,All India,"['PHP MySQL', ' MVC', ' JavaScript', ' jQuery', ' HTML', ' CSS', ' AJAX', ' WordPress', '']",posted 3 days ago
CORPORATE SALES & OPERATIONS EXECUTIVE,Gauri Groups,2 to 6 Yrs,,Maharashtra,"['Communication Relationship Management', ' Client Acquisition', ' Market Knowledge', 'Sales  Business Development', ' Team Player', ' English Proficiency']",posted 3 days ago
Export Import Executive - Air freight,ALPHA GLOBAL LOGISTICS,5 to 15 Yrs,,All India,"['Air Freight Freight Forwarding', 'Customs Clearance', ' Custom Agents', ' Consolidators']",posted 3 days ago
Dental Assistant/Receptionist,ckare health group,0 to 4 Yrs,,Kozhikode,"['clinic management basic computer knowledge', 'good communication']",posted 3 days ago
Electrical sales and Marketing Engineer,Simartech,1 to 5 Yrs,,Punjab,"['Analytical Skills Market Research', ' Communication skills', 'Sales ', ' Marketing', ' Understanding of electrical products ', ' panels']",posted 3 days ago
Operations Executive (Retail Stores),BREAK PROTECTION,5 to 9 Yrs,,Karnataka,"['Inventory Control Delivery Management', ' Retail Operations', ' Supply Chain Management', ' Inventory Management', ' Process Improvement', ' Supplier Relationship Management', ' Negotiation', ' Training', ' Microsoft Office', ' Interpersonal Skills', ' Communication Skills', 'Supplier Coordination', ' Inventory Software']",posted 3 days ago
Digital Marketing Executive,Big Bee Consultant,1 to 5 Yrs,,All India,"['Digital Marketing Social Media Marketing', ' Website Designing', ' ROI', ' Analytical Ability', 'SEOSEM', ' Graphic Designer', ' KPIs']",posted 3 days ago
Food Counter Billing (PVR) (Male),Boston Business solution pvt ltd,0 to 4 Yrs,,All India,"['Food Counter Billing Rotational Shift', ' Clean shaved']",posted 3 days ago
Graphic Designer - Print & Digital,Gigi,2 to 6 Yrs,,Karnataka,"['Visual Design Content Production', ' Illustrator', ' Photoshop', ' After Effects', 'Branding  Packaging', ' Event Coverage', ' Canva']",posted 3 days ago
Creative Designer Head,Effora,4 to 8 Yrs,,Noida,"['Design Video Editing', ' Brand Identity', ' Adobe Creative Suite', ' After Effects', 'Motion Videos', ' Website UI', ' Figma', ' Adobe XD', ' Premiere Pro']",posted 3 days ago
General Duty Assistant,Innovative Techno Institute,0 to 3 Yrs,,Jalandhar,"['GDA General duty assistant', ' Ward boys']",posted 3 days ago
Business Development Manager (SaaS),innofied,3 to 7 Yrs,,All India,"['International sales Business Development', ' Digital transformation', ' Cold calling', ' Outbound sales', ' Client engagement', ' RFPs', ' Account management', ' IT Services', ' Custom Software development', ' Written communication', ' Verbal communication', 'Software development projects', ' Email campaigns', ' Proposal drafting', ' Technical solutions', ' Scope documents', ' Agreements ', ' contracts']",posted 3 days ago
GM Client Servicing Digital Rewards/Gifting/Loyalty Coupons,Profile HR Consultants Pvt Ltd.,5 to 9 Yrs,,All India,"['Client retention Upselling', ' Business development', ' Strategic planning', 'PL management', ' Crossselling']",posted 3 days ago
Business Development Intern,TravClan,0 to 4 Yrs,,Delhi,"['Negotiation Skills Business Acumen', 'CustomerCentric', ' ProblemSolving']",posted 3 days ago
Front Desk/Receptionist,My Pain Clinic,5 to 9 Yrs,,All India,"['Customer Service Communication Skills', ' Sales Support', ' Administrative Support', ' Lead Generation', 'Phone Communications', ' Appointment Handling', ' Reception Management', ' Computer Knowledge']",posted 3 days ago
Management Trainee - Business Development,Raj Nakra ssociates,0 to 4 Yrs,,Haryana,"['Marketing Business Development', ' Microsoft Office', ' Market Research', ' Communication Skills', 'Technical Knowledge']",posted 3 days ago
Area Sales Manager- General and modern trade - Beauty and Personal care,The Wellness Shop,4 to 8 Yrs,,Karnataka,"['Sales Management Channel Management', ' Sales Strategies', ' Credit Management', ' Negotiation Skills', ' Communication Skills', ' Leadership Skills', 'Market Visits', ' Sales Data Analysis']",posted 3 days ago
Mobile Application Developer,Medhaj Techno Concept Pvt. Ltd.,5 to 9 Yrs,,Lucknow,"['Git PostgreSQL', ' MongoDB', 'Flutter', ' Agile development methodologies']",posted 3 days ago
Retail Sales Executive,Kavya Management Services,0 to 3 Yrs,,Ahmedabad,"['Retail Sales Customer Handling', ' Counter Sales', 'Pleasing Personality', ' Effective Verbal ', ' Written Communication Skills', ' Basic Computers', ' Sales Communication Skills']",posted 3 days ago
Full Stack web developer,GK Next Solutions,2 to 6 Yrs,,Moga,"['JavaScriptReact', ' BackEnd Web Development', ' FrontEnd Development', ' Cascading Style Sheets CSS', ' FullStack Development']",posted 3 days ago
Architect & Interior Designer,Sage Hospitality,2 to 6 Yrs,,Delhi,"['AutoCAD SketchUp', ' Architectural Design', ' Interior Design', ' Detail Drawings', ' 3D Visualization', ' Space Planning', ' Communication Skills', ' Teamwork', 'Design Concepts', ' Technical Detailing']",posted 3 days ago
Ecommerce Coordinator,Pure Nutrition,3 to 7 Yrs,,Maharashtra,"['Customer Lifecycle Management Analytical skills', ' Communication', ' Project Management', 'Google Ads', ' Meta Ads', ' CRM systems', ' Growth Marketing']",posted 3 days ago
Business Development Associate,Ecoholics - Largest Platform for Economics,0 to 4 Yrs,,Bhopal,"['Current time management', 'sound knowledge of the UPSC exam process', ' former UPSC aspirants', ' eager to work in a fastpaced salesdriven environment', ' Oral ', ' written proficiency in English', ' good listening skills', ' multitasking', ' can do attitude']",posted 3 days ago
Strategic Sales Manager (SaaS),Talasha,5 to 9 Yrs,,Haryana,"['Sales Strategy Lead Generation', ' Pipeline Management', ' Business Development', ' Customer Satisfaction', 'Sales Forecasts', ' Tech Solutions', ' SaaS Products', ' CXO Relationship Management']",posted 3 days ago
Sales Marketing,Sylora,0 to 4 Yrs,,Punjab,"['Offline Marketing Communication Skills', ' Field Work', ' Sales', 'Promotional Activities', ' Customer Relationship Building']",posted 3 days ago
CRM Executive,Brandface Retail LLP,3 to 7 Yrs,,Kozhikode,"['CRM Data Entry', ' Segmentation', ' Analysis', ' Sales', ' Marketing', ' Customer Service', ' Reporting', ' Business Growth', 'Industry Trends', ' Client Relationships', ' Freshdesk', ' Freshchat']",posted 3 days ago
Website Sales Executive - Female Preferred,Desun Technology,1 to 5 Yrs,,All India,"['Sales Website Development', ' Digital Marketing', ' Social Media Marketing', ' Cold Calling', ' Negotiation', ' IT Skills', ' Microsoft Applications', '']",posted 3 days ago
Sales Process Associate (US Voice Process),FAYA,1 to 5 Yrs,,Thiruvananthapuram,"['leadership customer service skills', ' phone etiquette', 'verbal ', ' written communication skills', ' sales skills', ' active listening', ' quick learner', ' decisionmaking']",posted 3 days ago
Sales Trainer And Coach,ResoPro Training Services,3 to 7 Yrs,,Jaipur,"['Sales strategies Training delivery', ' Communication', ' CRM', ' MS Office', 'Sales techniques', ' Sales skills']",posted 3 days ago
Growth & Marketing Partner,Dhun Jam Entertainment Private Limited,0 to 4 Yrs,,Karnataka,"['Social media marketing Community engagement', ' Networking skills', ' Marketing initiatives', 'Partnership building']",posted 3 days ago
"Python Software Engineer, AI",G2i Inc.,4 to 8 Yrs,,All India,"['Python Code Review', ' Reinforcement Learning', 'Logic Errors', ' Performance Traps', ' Security Issues', ' Professional Software Engineering']",posted 3 days ago
Recruiter WFH - Hr female,Helpmate solution,1 to 5 Yrs,,All India,"['Recruitment HR', ' Hiring', ' Networking', ' Communication Skills', '']",posted 3 days ago
AI Trainer Intern,Skillship Edutech,0 to 4 Yrs,,Gujarat,"['Artificial Intelligence Robotics', 'Python programming']",posted 3 days ago
