Title,Employer Name,Location,Skills list,Experience Min,Experience Max,Experience Band,Salary Disclosed,Salary Min,Salary Max,Salary Band,Job Role,Posted Days Ago
IIT JEE Mathematics and Physics,WRITO EDUCATION,Nanded,"['Mathematics Physics', 'Curriculum Development', 'Lesson Planning', 'Communication Skills', 'Engagement', 'ProblemSolving', 'Motivation']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,7
Business Development Executive,Capital Placement Services,Haryana,"['Basic computer knowledge Outbound calling', 'Inbound calls', 'Cold calling', 'Customer service', 'B2B sales']",1.0,5.0,Entry Level,True,,,Not Disclosed,Executive,7
Software Tester (Junior),Oye Creators,Pune,"['test execution software testing', 'quality assurance', 'analytical skills', 'develop test cases', 'problemsolving skills', 'testing methodologies', 'Bachelors degree in Computer Science']",0.0,4.0,Entry Level,True,,,Not Disclosed,Software,7
People and Culture Executive,Moolya,Karnataka,"['cultureExcellent presentation', 'communication skills', 'Strong listening skills', 'Proven ability to manage events', 'initiatives', 'A genuine people person with empathy', 'emerging leadership qualities', 'Interest in people', 'HR']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,7
Business Development Associate,Winning Edge Learning,Amritsar,"['Strong Communication SkillsMBA Marketing', 'Analytical Mind', 'Copywriting Skills', 'Proficiency in MS PowerpointExcel', 'Exposure to Digital Marketing Essentials']",0.0,3.0,Entry Level,True,,,Not Disclosed,Other,7
Finance Operations Manager,Kirana Club,Karnataka,"['Billing Reconciliation', 'PL', 'Excel macros', 'Tally', 'Collaboration', 'Advanced Excel', 'Pivot tables', 'Tally', 'QuickBooks', 'Communication skills', 'Cashflow management', 'Automated invoice generation', 'GST filings', 'Cashflow forecasting', 'Uniteconomics dashboards', 'Automation through SOPs', 'Zoho', 'ERP systems', 'SQLBI scripting', 'Pricing strategy analysis', 'Transaction data analysis', 'Profit margins analysis', 'CAInterICWAInter certifications', 'CACPA', 'MBA in Finance', 'Highvolume finance', 'Ecommerce finance', 'Marketplace finance', 'Fintech finance', 'Logistics finance', 'VLOOKUPs', 'Zoho Books', 'Problemsolving']",3.0,7.0,Mid Level,True,,,Not Disclosed,Manager,7
Subject Coordinator,ABP Empower,Sangrur,"['English Science', 'SST', 'Social Science', 'Subject Coordination', 'Math', 'Instructional management', 'Teachers Development']",2.0,8.0,Mid Level,True,,,Not Disclosed,Coordinator,7
HR Associate,Jobs for Humanity,Maharashtra,"['Employee Database Management Onboarding', 'Induction', 'Employee Engagement', 'Policy Implementation', 'HR Policies', 'HR Parameters Tracking', 'Dashboard Reporting', 'Compliance Data Documentation', 'Employee Wellbeing Activities', 'Systems', 'Processes Management']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,7
Field Application Engineer,SR Electro Private Limited,Noida,"['Integration Troubleshooting', 'Technical presentations', 'Technical documentation', 'Semiconductor Electronic components', 'Product selection', 'CRM systems']",3.0,8.0,Mid Level,True,,,Not Disclosed,Engineer,7
Generative AI Engineer,MM Management Consultant,Karnataka,"['Python SQL', 'Data engineering', 'LLMs', 'Lang Chain', 'Prompt Engineering', 'Gen AI technologies', 'Azure Databricks', 'Azure Data Services', 'PySpark', 'Delta Lake architecture', 'Azure Data Lake', 'Azure Data Factory', 'Azure Synapse Analytics', 'Databricks']",4.0,8.0,Mid Level,True,,,Not Disclosed,Engineer,7
HR Consultant,Giant Hunt,All India,"['HR Recruitment', 'Admissions', 'Communication', 'Persuasion', 'Digital Marketing']",1.0,5.0,Entry Level,True,,,Not Disclosed,Consultant,7
Finance Manager,Capital Placement Services,Noida,"['GST TDS', 'Tally', 'budget oversight', 'compliance', 'Finance Manager expertise', 'accounting principles', 'finance executive functions', 'financial regulations', 'finance accounts management']",2.0,7.0,Mid Level,True,,,Not Disclosed,Manager,7
HR recruiter,Weekday AI (YC W21),Junagadh,"['Sourcing Interview Coordination', 'Technical Recruiting', 'Human Resources', 'Recruitment Advertising', 'Full Life Cycle Recruiting', 'EndtoEnd Recruitment', 'HR Documentation', 'ERecruitment']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,7
HR Recruitment,Expertrons,Maharashtra,"['Team Management Communication Skills', 'Recruitment Tools', 'HR Recruitment', 'Agency Recruitment', 'NonIT Recruitment', 'Recruitment Strategies', 'Interviews', 'Screenings', 'Hiring Managers Collaboration', 'Recruitment Channels', 'EndtoEnd Recruitment Process', 'Vendor', 'Client Management', 'Recruitment Data', 'Metrics', 'Industry Trends Awareness', 'MS Office Proficiency']",4.0,8.0,Mid Level,True,,,Not Disclosed,Other,7
Customer Support Executive,VIHU,All India,"['Customer Service Product Knowledge', 'Issue Resolution', 'Inbound Calls', 'CRM Management', 'Communication Skills', 'Technical Proficiency', 'Inquiry Handling', 'Outbound Calls']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,7
Industrial Sales Engineer,Capital Placement Services,All India,"['heavy machinery sales', 'sales engineering', 'industrial marketing', 'industrial product sales', 'capital equipment sales', 'sales  marketing engineering', 'industrial sales engineering', 'hospital executive roles', 'medical product sales']",2.0,8.0,Mid Level,True,,,Not Disclosed,Engineer,7
Business Development Executive,selectionpoint,Bhopal,"['New Business Development Lead Generation', 'Account Management', 'Market Research', 'Communication Skills', 'Marketing Strategies']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,7
Imports Manager,DRG JPMC Hyderabad,Pune,"['Negotiation Inventory Management', 'Market Analysis', 'Contract Management', 'Supervision', 'Training', 'Supply Chain Management', 'Procurement Strategies', 'ImportExport Regulations']",5.0,9.0,Senior Level,True,,,Not Disclosed,Manager,7
Customer Support Executive,recruitwire service,Amritsar,"['Customer support Voice process', 'Excellent communication skills in English']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,7
Tech Lead,MDA Edge,Hyderabad,"['Python data engineering', 'SQL', 'Git', 'Jenkins', 'Palantir Tech Lead', 'PySpark', 'CICD', 'AgileScrum']",2.0,15.0,Mid Level,True,,,Not Disclosed,Other,7
Customer Care Executive,SUMERU INC,Jabalpur,"['customer handling voice process', 'Hindi', 'English', 'effective communication', 'customer service']",1.0,5.0,Entry Level,True,,,Not Disclosed,Executive,7
Data Engineer,Capital Placement Services,All India,"['Spark ETL', 'SSIS', 'Informatica', 'Data Warehousing', 'Scala', 'Python', 'TSQL', 'DataBricks', 'Azure Cloud', 'USQL', 'Azure Data Lake Analytics', 'Azure SQL DW', 'Azure stack']",3.0,9.0,Mid Level,True,,,Not Disclosed,Engineer,7
CCTV Technicians,Multi City Web,Howrah,"['CCTV LAN', 'Networking', 'EPBX', 'VDP', 'Biometric Services  Installation']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,7
Jr Engineer / Engineer - QC,Crown HR Services,Vadodara,"['QC tools ISO standards', 'Data analysis', 'Quality Management Systems QMS', 'Advanced Product Quality Planning APQP', 'NonConforming NC material handling', 'Root Cause Analysis RCA', 'Corrective', 'Preventive Action CAPA analysis', 'Testing protocols']",1.0,5.0,Entry Level,True,,,Not Disclosed,Engineer,7
Unity Developer,eCultify,Maharashtra,"['WebGL C', 'UI', 'animation', 'game physics', 'RESTful APIs', 'Fusion', 'Canvas', 'Unity development', 'multiplayer systems', 'authentication layers', 'realtime data syncing', 'ARVR', 'AIbased gameplay elements', 'Photon', 'ARVR', 'AIbased gameplay elements', 'Unity 2020', 'memory optimization', 'Photon PUN', '3rdparty plugins integration', 'object pooling', 'performance profiling', 'scene management', 'Unity UI Toolkit', 'Unity Cloud Build', 'Addressables', 'asset streaming', 'backend API integration', 'JWTbased authentication flows', 'metaverse', 'avatarbased systems']",3.0,7.0,Mid Level,True,,,Not Disclosed,Developer,7
Video Editor,Brototype,Coimbatore,"['Video Editing Adobe Suite', 'After Effects', 'Photoshop', 'Sound Effects', 'Lighting', 'Premiere Pro', 'Animations', 'Transitions', 'Camera Operations']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,7
Project Implementation Coordinator,WILDFOX BUSINESS ADVOCACY,All India,"['Project Coordination Communication Skills', 'Client Onboarding', 'Time Management', 'ERP Platforms', 'Organizational Skills']",2.0,6.0,Mid Level,True,,,Not Disclosed,Coordinator,7
Creative Science Communicator & Anchor Trainer,WonderLab,Haryana,"['Training Mentoring', 'Content Development', 'Performance', 'Education', 'Coordination', 'Creative Content Creation', 'Teaching', 'Storytelling', 'Communication Skills', 'Google Drive', 'Training Modules Development', 'Canva Designs', 'Activity Ideas', 'Social Media Content', 'DIYs', 'Arts  Crafts', 'Experiments', 'Audience Engagement', 'Organizational Skills', 'Canva', 'Basic Editing Tools']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,7
Customer Service Assistant,witbloom tnp,Indore,"['Telephonic Interviews English Proficiency', 'Hindi Knowledge']",0.0,4.0,Entry Level,True,,,Not Disclosed,Customer service,7
Full Stack Developer / Backend Developer,Srishta Technology,Noida,"['Express MySQL', 'MongoDB', 'PLSQL', 'PostgreSQL', 'RESTful APIs', 'Git', 'AWS', 'Azure', 'ReactRedux', 'Nodejs', 'SocketIO', 'NextJS']",2.0,6.0,Mid Level,True,,,Not Disclosed,Developer,7
Asst Channel Sales Manager,Sara Builders,All India,"['Sales Channel Partner Management', 'Sales Strategy', 'Communication Skills', 'Leadership', 'BTL Network', 'Influencer Sales']",2.0,6.0,Mid Level,True,,,Not Disclosed,Manager,7
Senior executive Accounts,HRhelpdesk,Haryana,"['Budget forecasts Financial statements', 'GST', 'TDS', 'Auditing', 'Accounting transactions', 'MIS closings', 'Income Tax Returns', 'Balance sheets', 'Profitloss statements', 'Employee Compensation', 'Financial data confidentiality', 'Database backups']",3.0,7.0,Mid Level,True,,,Not Disclosed,Executive,7
Sales Marketing Coordinator,Astromar Free Trade Warehousing Zone (FTZ),Chennai,"['Kannada Telugu', 'English communication skills', 'logisticstrade']",0.0,4.0,Entry Level,True,,,Not Disclosed,Coordinator,7
Venture Capital,Artha Group,Maharashtra,"['Financial performance Financial modeling', 'Managing companies', 'Analyzing data', 'KPI tracking', 'Portfolio data interpretation', 'AOP planning', 'Followon fundraising', 'Company turnarounds', 'Investments endtoend', 'Decisionprep ownership', 'Managing analysts', 'Managing junior team members']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,7
Web Designer,Bose Consulting,Kolkata,['web designing'],1.0,5.0,Entry Level,True,,,Not Disclosed,Designer,7
Asstt Manager / Sales Executive,Shree Consultancy Services,Pune,"['Sales Business development', 'Excellent communication skills']",4.0,8.0,Mid Level,True,,,Not Disclosed,Manager,7
Title counselor,Profession Makers Recruitment Consultants,Delhi,"['Education Interpersonal Skills', 'Time Management', 'Counseling', 'Organizational Skills']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,7
Sales Associate,Planck Technology,Gandhinagar,"['IT recruitment sourcing', 'screening', 'interviewing', 'visas', 'time management', 'market trends', 'Bench sales Recruitment', 'hiring activities', 'fulllife cycle recruiting', 'evaluating candidates', 'tax terms', 'selfmotivated', 'organizational skills', 'knowledge of the IT industry']",0.0,5.0,Entry Level,True,,,Not Disclosed,Sales,7
CNC Machine Operator,Big Bee Consultant,All India,"['CNC machines drilling', 'grinding', 'milling', 'mechanical drawings', 'blueprints', 'computer commands', 'loading raw materials', 'conducting test runs', 'setting machines', 'supervising machines', 'making necessary adjustments', 'inspecting finished products', 'maintenance checks']",0.0,3.0,Entry Level,True,,,Not Disclosed,Other,7
Sales,Talasha,Pune,"['Treasury Trade', 'Business Development', 'Forex', 'People Management', 'Networking', 'Commercial Borrowings', 'Agentic AI Platform', 'Corporate Borrowings', 'Operational Expertise', 'Sales Team Management', 'Startup Experience']",5.0,10.0,Senior Level,True,,,Not Disclosed,Sales,7
Front Desk Executive,HEMIX HR UNIVERSE,Gujarat,"['interpersonal skills communication skills', 'phone etiquette', 'customer service', 'time management', 'office administration', 'receptionist tasks', 'multitasking']",1.0,5.0,Entry Level,True,,,Not Disclosed,Executive,7
Website Manager,UNISON INTERNATIONAL CONSULTING (The Recruitment Company),Maharashtra,"['Content optimization Metrics analysis', 'Ecommerce platform management', 'User experience enhancement', 'Website traffic optimization', 'D2C business scaling', 'Campaign optimization', 'Collaboration with marketing', 'tech teams', 'Customer query management']",3.0,7.0,Mid Level,True,,,Not Disclosed,Manager,7
Dealer Parts Support Specialist,CNH Industrial,All India,"['customer service troubleshooting', 'adaptability', 'Microsoft Office', 'organizational skills', 'attention to detail']",2.0,6.0,Mid Level,True,,,Not Disclosed,Specialist,7
Sales Executive,Cygnuss Agro,Pithampur,"['Sales Business Development', 'Customer Relationship Management', 'Presentation', 'Product Demonstration', 'Sales Cycle Management', 'Interpersonal Skills', 'Communication Skills', 'Negotiation Skills', 'CRM System']",2.0,6.0,Mid Level,True,,,Not Disclosed,Executive,7
"C, ASP.NET Developer",Relate Infotech,Kolkata,"['jQuery SQL Server', 'C', 'HTML', 'CSS', 'JavaScript', 'Responsive Web Design', 'Visual Studio', 'HTML5', 'Mobile Development', 'Web Services', 'WCF', 'AJAX', 'ASPNet', 'VueJS', 'Net Framework', 'UI debugging', 'SQL Server performance tuning', 'Source control', 'Bug tracking systems']",3.0,7.0,Mid Level,True,,,Not Disclosed,Developer,7
AI Specialist Executive,Need Eighty Two Forex and Travels Pvt. Ltd.,West Bengal,"['Excel Trello', 'AIbased tools', 'Canva', 'Google Workspace', 'Notion', 'ClickUp']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,7
Brand Content Intern,Kavadea,Jaipur,"['Video Editing Content Management', 'Social Media Management', 'Visual Storytelling', 'Youth Culture', 'Digital Marketing', 'Fashion Trends']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,7
Audit and Tax Executive,BK Financial Services Pvt Ltd,Nashik,"['Internal Audit Tax compliance', 'Auditing', 'Income Tax Returns', 'GST Returns', 'TDS Returns', 'Tax Audit Reports', 'PT Returns', 'Stock Audits']",4.0,8.0,Mid Level,True,,,Not Disclosed,Executive,7
Manager Internal Audit,Nirav Kotecha & Co. Global,Maharashtra,"['Internal Audit Risk Management', 'Financial Management', 'Compliance', 'Policy Development', 'Risk Assessment', 'Process Optimization', 'P2P', 'O2C', 'Inventory Management', 'Production', 'HR', 'Risk Consulting', 'Data Analysis', 'Planning', 'Accounting Standards', 'Companies Act', 'Analytical Skills', 'Communication Skills', 'Travel', 'Controls Management', 'Control Frameworks', 'Domain Knowledge', 'Accounts Finance', 'Delegation', 'Followup Audits', 'Audit Standards', 'IT System Operations', 'Attention to Detail']",3.0,7.0,Mid Level,True,,,Not Disclosed,Manager,7
Senior Graphic Designer,Suri Graphics,Indore,"['Graphic Design Visual Design', 'Design Software', 'Logos', 'Illustrations', 'Layouts', 'Photos']",0.0,3.0,Entry Level,True,,,Not Disclosed,Designer,7
Senior Associate - Alumni Placement,Jobs for Humanity,Maharashtra,"['Presentation SkillsPartnership Building', 'Employer Identification', 'Program Design', 'Placement Strategies', 'Fair Organization', 'Career Portal Management', 'Research', 'Analysis', 'Independent Work Management']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,7
Collection Manager,Bharat Financial Inclusion Ltd.,Kannur,"['Collection Management Effective Communication', 'Team Collaboration', 'Twowheeler', 'Driving License', 'Aadhar Card', 'PAN Card']",0.0,4.0,Entry Level,True,,,Not Disclosed,Manager,7
CAD/CAM Engineer,I5 Technologies,All India,"['Diploma in Mechanical Engineering National Tooling', 'Training Foundation NTTF', 'Central Institute of Plastics Engineering  Technology CIPET', 'Bachelors degree in Mechanical Engineering', 'CAD CAM software']",1.0,5.0,Entry Level,True,,,Not Disclosed,Engineer,7
Digital Marketing Intern,Beagle Cyber Innovations Private Limited,Thiruvananthapuram,"['SEO Email Marketing', 'Social Media Marketing', 'Content Creation', 'Keyword Research', 'Written Communication', 'Verbal Communication', 'Competitor Research']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,7
Executive/Assistant Manager - Resource Mobilisation & Investor Relations,United Way Mumbai,All India,"['fundraising written communication', 'verbal communication', 'relationship building', 'presentation skills']",0.0,5.0,Entry Level,True,,,Not Disclosed,Manager,7
Marketing Business Development Executive,selectionpoint,Bhopal,"['New Business Development Lead Generation', 'Market Research', 'Account Management', 'Communication Skills', 'Marketing Strategies']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,7
Robotics Trainer,PNT Robotics & Automation Solutions,Maharashtra,"['Robotics Arduino', 'Embedded Systems', 'Artificial Intelligence', 'Machine Learning']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,7
Medical SPRO,Hindustan HR,Chennai,"['Medical Sales Sales', 'Marketing', 'Promotion']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,7
Experienced Graphic Designers,KERATECH COCONUT OIL MANUFACTURING COMPANY PRIVATE LIMITED,All India,"['Graphics Graphic Design', 'Photoshop', 'Illustrator', 'CorelDraw']",2.0,6.0,Mid Level,True,,,Not Disclosed,Designer,7
Medical Sales Representative,TESNI Pharmaceuticals,Bareilly,"['Strong communication skills Customer service skills', 'Presentation skills', 'Understanding of medicine', 'pharmacy', 'Negotiation capabilities']",0.0,4.0,Entry Level,True,,,Not Disclosed,Sales,7
Software Engineer 1,"Onyx Point, LLC.",All India,"['AWS Ansible', 'Kubernetes', 'Networking', 'Terraform', 'GitLab CICD', 'ELK stack', 'Prometheus', 'Grafana']",2.0,6.0,Mid Level,True,,,Not Disclosed,Software,7
Graphic Designing Faculty,Big Bee Consultant,All India,"['Adobe Photoshop Illustrator', 'Coral', 'Photoshop', 'digital art tools']",0.0,3.0,Entry Level,True,,,Not Disclosed,Other,7
Client Services Associate,Growinity Solutions LLP,Pune,"['Customer Service Communication Skills', 'English', 'Ticket Booking', 'Refunds', 'Baggage Handling', 'Hindi', 'Inbound Customer Inquiries', 'Flight Handling', 'Fluent English']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,7
Sales,Capital Placement Services,Karnataka,"['Pharma Sales Surgical', 'Area Sales Manager', 'Regional Sales Manager', 'Sales Executive', 'B2B Sales Executive', 'Medical Sales Executive']",1.0,7.0,Entry Level,True,,,Not Disclosed,Sales,7
Graphic Design Internship,ONAMART PROFESSIONAL,All India,"['Photoshop Illustrator', 'Layout design', 'Color theory', 'Typography', 'Motion graphics', 'After Effects', 'Canva', 'Social media content design']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,7
Customer Support Associate,FITB,Pune,"['Verbal Communication Customer Support', 'English']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,7
Finance & Data Operations Executive,DYP Jain and Company,Delhi,"['Excel Google Sheets', 'Coordination', 'Communication']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,7
"Coordinator, Project assistant and Office assistant",Panjab University,All India,"['Project Handling Technology Transfer', 'Patents', 'MS Office', 'Website Maintenance', 'Entrepreneurship Development Programs', 'GeM Portal', 'ETendering', 'BioIncubation Process', 'FundRaising Proposals', 'Scientific Report Writing', 'Bioinstrumentation', 'Typing Skills', 'English Proficiency', 'Official Documentation']",3.0,7.0,Mid Level,True,,,Not Disclosed,Coordinator,7
Computer Teacher,Ashraya Initiative for Children,Pune,"['Computer Science Digital Literacy', 'Programming Languages', 'Python', 'Java', 'C', 'HTML', 'Microsoft Office', 'Communication Skills', 'Interpersonal Skills', 'Teaching', 'Curriculum Development', 'Assessment Design', 'Tutoring', 'Career Planning', 'Technology Skills', 'Canva', 'Google interfaces', 'Academic Planning']",1.0,5.0,Entry Level,True,,,Not Disclosed,Teacher,7
Sr. Account Executive,Sunshine Manpower,Hyderabad,"['Tally ERP MS Excel', 'Banking operations', 'Financial reporting', 'Communication skills', 'Typing speed', 'Reconciliation procedures']",5.0,9.0,Senior Level,True,,,Not Disclosed,Executive,7
Pre-Primary Mother Teacher,Narayana Group of Educational Institutions,Karnataka,"['Teaching English language', 'MTT', 'NTT']",1.0,5.0,Entry Level,True,,,Not Disclosed,Teacher,7
HVAC Ducting Project Coordinator,Grace Engineering and Technical Services,All India,"['Project Coordination Duct Cleaning', 'MS Office', 'Project Management', 'HVAC Ducting', 'MEP Products']",2.0,6.0,Mid Level,True,,,Not Disclosed,Coordinator,7
Inside Sales Cum Customer Service Executive,Capital Placement Services,All India,"['customer care executive customer support executive', 'telecaller', 'telemarketer', 'telemarketing executive']",1.0,6.0,Entry Level,True,,,Not Disclosed,Executive,7
Customer Support - BPO ( Experienced ),Boston Business Solution Private Limited,All India,"['Voice Process Fluency in English', 'Tamil', 'Malayalam', 'Hindi', 'Kannada', 'Telugu']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,7
Sales & Marketing Executive,Royal Monarch,Noida,"['Telesales Customer Acquisition', 'Wealth Management', 'Financial Instruments', 'Equities', 'Derivatives', 'Mutual Funds', 'Compliance', 'Account Opening', 'Microsoft Office', 'Customer Service', 'Objection Handling', 'Sales Targets', 'Lead Generation Strategies', 'CRM Software', 'ProblemSolving', 'Closing Sales']",2.0,6.0,Mid Level,True,,,Not Disclosed,Executive,7
UK Auditor,Capital Placement Services,All India,"['UK Shift External Audit', 'Microsoft Office', 'Auditor', 'Accountant']",4.0,9.0,Mid Level,True,,,Not Disclosed,Other,7
HOSPITAL PRO - MARKETING,PHARMACARE,Ahmedabad,"['sales business development', 'networking', 'marketing', 'developing professional relationships']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,7
Vendor Coordinator,Dermatouch,Ahmedabad,"['Vendor Management Procurement', 'Supply Chain Management', 'Compliance', 'Communication Skills', 'Contract Negotiation', 'Pharmaceutical Operations', 'Good Manufacturing Practices GMP', 'FDA Guidelines', 'MS Office Applications', 'Quality Assurance Standards']",3.0,7.0,Mid Level,True,,,Not Disclosed,Coordinator,7
Operation Executive,TURTLEMINT INSURANCE BROKERS,Vapi,"['graduation degree basic English proficiency', 'knowledge of computer applications']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,7
Data Scientist - Natural Language Processing,Capital Placement Services,Haryana,"['Natural Language Processing Information Extraction', 'Deep Learning', 'Linear Regression', 'Logistic Regression', 'SVM', 'Bayesian Methods', 'Unsupervised Learning', 'Reinforcement Learning', 'Time Series Analysis', 'Flask', 'Scraping', 'Text Mining Algorithms', 'XGBoost', 'Random Forest', 'FastAPI', 'Hug', 'Python programming']",2.0,8.0,Mid Level,True,,,Not Disclosed,Scientist,7
Market Research Analyst,Capital Placement Services,Haryana,['Market AnalysisMarket Research Analyst'],3.0,9.0,Mid Level,True,,,Not Disclosed,Analyst,7
Technical Support Executive,GETWAY TECHNOLOGY,Haryana,"['Computer SkillsGood communication skills', 'Problemsolving attitude']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,7
E-commerce Operations Executive,House Of Niav,Noida,"['Inventory control Stock control', 'Procurement', 'Operations', 'Issue resolution', 'Team coordination', 'Vendor coordination', 'Inventory management', 'Warehouse management', 'Supply chain management', 'Shopify', 'Order dispatch management', 'Courier handling', 'Logistics handling', 'Courier issue resolution', 'Supplier coordination', 'Labour hiring', 'Workforce coordination', 'Shiprocket', 'DirecttoConsumer D2C brand']",2.0,6.0,Mid Level,True,,,Not Disclosed,Executive,7
"Graphic Designer Social Media, Brochure & Video Editing",Passionate Futurist,All India,"['Adobe Photoshop Illustrator', 'InDesign', 'Adobe Premiere Pro', 'After Effects']",1.0,5.0,Entry Level,True,,,Not Disclosed,Designer,7
QA Automation Tester,Protocolzone,Ahmedabad,"['Selenium Java', 'Automation Testing', 'Mobile Application Testing', 'Test Scripting', 'Software Testing', 'Test Management', 'Web Technologies', 'Continuous Integration', 'Webbased Application Testing']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,7
Video and Graphic Designer,OneLatitude,Delhi,"['Graphic Design Adobe Creative Suite', 'Photoshop', 'Illustrator', 'After Effects', 'Video Design', 'Premiere Pro']",2.0,6.0,Mid Level,True,,,Not Disclosed,Designer,7
Graduate Civil Engineer,Ecademic Tube,Rewa,"['Communication Skills Documentation', 'Engineering Knowledge', 'Academic Support']",0.0,4.0,Entry Level,True,,,Not Disclosed,Engineer,7
Billing Clerk Accountant,Sujata Computers,Pune,"['Tally software MS Office', 'Excel', 'Quickbooks', 'Communication skills', 'Mathematical skills', 'Organizational abilities']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,7
Technical Sales Coordinator,DRG JPMC Hyderabad,All India,"['Inside Sales CRM', 'Database management', 'Documentation', 'Communication skills', 'Customer inquiries management', 'Marketing principles', 'Marketing strategies', 'Sales records maintenance', 'Sales reports preparation']",1.0,5.0,Entry Level,True,,,Not Disclosed,Coordinator,7
Civil Project Engineer,CLASSIC INFRASTRUCTURE PROJECTS,Vadodara,"['estimating project costs conducting rate analysis', 'reviewing tender documents', 'evaluating vendorcontractor quotations', 'coordinating', 'monitoring site execution', 'assisting in budgeting', 'ensuring cost control on site']",3.0,7.0,Mid Level,True,,,Not Disclosed,Engineer,7
Trade Finance Manager,Capital Placement Services,All India,"['Trade Finance Trade Finance Operations', 'Trade Finance Management', 'LC', 'International Trade', 'UCPDC', 'International Trade Finance', 'Trade Operations', 'Bcom', 'Trade Finance Manager', 'Letter Of Credit', 'Finance Manager']",4.0,10.0,Mid Level,True,,,Not Disclosed,Manager,7
Guest Relation - Executive,Malabar Group,All India,['Expertise in customer relations Good communication skills'],4.0,8.0,Mid Level,True,,,Not Disclosed,Executive,7
Senior Product Sales Executive Hematology/Urinalysis (Heme/UA),Beckman Coulter Diagnostics,All India,"['Competitive Analysis Subject Matter Expertise', 'Market Analysis', 'SFDC', 'Sales Experience', 'HematologyUrinalysis Technologies', 'Laboratory Workflows', 'Product Presentations', 'PowerBI']",5.0,9.0,Senior Level,True,,,Not Disclosed,Executive,7
Account Assistant,D'Mak Energia,Gandhinagar,"['Accounting Finance', 'Invoicing', 'Tax returns', 'TDS calculation', 'TALLY PRIME System', 'Eway bills', 'GST returns', 'Balance sheets', 'GST data calculation']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,7
GTM Lead,Paytm,Noida,"['Marketing Market research', 'Competitive analysis', 'GTM strategy', 'Product launch planning', 'Customer rollout strategies']",5.0,10.0,Senior Level,True,,,Not Disclosed,Other,7
FIRE ALARM SYSTEM TECHNICIAN,Zenith Talent Hub,Udupi,"['installation testing', 'commissioning', 'maintenance', 'troubleshooting', 'addressable  conventional fire alarm systems', 'repairing faults', 'reading', 'interpreting technical drawings', 'coordinating with engineers', 'technicians', 'documenting inspections', 'maintenance work', 'system programming', 'configuration', 'support during emergency breakdowns', 'false alarms']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,7
Parcel Delivery - Science City,ASTUTE OUTSOURCING SERVICES PVT. LTD.,All India,['Driving License'],0.0,4.0,Entry Level,True,,,Not Disclosed,Other,7
Sales Manager - B2C,SolarSquare Energy,All India,"['Sales Customer Service', 'Communication Skills', 'Negotiation', 'ProblemSolving', 'CRM Database Management']",4.0,8.0,Mid Level,True,,,Not Disclosed,Manager,7
Transport Co-ordinator,Shrianand Poly,Haryana,"['Communication skills Interpersonal skills', 'Organizational skills', 'Multitasking abilities', 'Knowledge of transportation regulations', 'Logistics knowledge', 'Problemsolving capabilities', 'Decisionmaking skills', 'Attention to detail']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,7
PHP Programmer,Internetever,Thrissur,"['PHP HTML', 'Codeigniter framework', 'databases']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,7
